     Group.1 Group.2          x
703       ah      sh  0.0095020
704        n      sh  0.0056910
705       ae       t -0.0092630
706       ao       t -0.0030000
707       ax       t -0.0053155
708       ay       t  0.0052675
709        d       t  0.0118995
710       eh       t  0.0014865
711       er       t -0.0059510
712       ey       t -0.0046810
713        f       t -0.0077360
714       h#       t -0.0055870
715       ih       t -0.0002830
716       iy       t -0.0048705
717        k       t -0.0125000
718        l       t -0.0137950
719        m       t -0.0121105
720       ng       t -0.0322050
721       ow       t -0.0159090
722        p       t -0.0178130
723        r       t -0.0136395
724        s       t  0.0157900
725       sh       t  0.0015755
726        t       t  0.0095860
727       th       t -0.0230000
728       uh       t -0.0041740
729       uw       t -0.0041570
730       aa       t -0.0044240
731       ah       t -0.0022920
732        n       t -0.0058050
733        v       t -0.0110150
734        z       t -0.0111130
735       aw       t -0.0106390
736       ax      th  0.0178350
737       ay      th  0.0082740
738        d      th  0.0180000
739       eh      th  0.0127575
740       ey      th  0.0200500
741       h#      th  0.0257315
742       ih      th  0.0025510
743       iy      th -0.0100000
744        l      th -0.0422390
745        m      th  0.0011290
746       ng      th  0.0270000
747       ow      th -0.0085990
748        s      th  0.0150065
749        t      th  0.0600920
750       th      th -0.0026920
751       uh      th  0.0032730
752       uw      th  0.0070000
753       aa      th  0.0100510
754       ah      th -0.0011345
755        n      th -0.0136070
756        v      th -0.0176310
757       aw      th -0.0246340
758       ao      uh -0.0474465
759       ax      uh -0.0030000
760       ay      uh  0.0306330
761        d      uh -0.0072855
762       dh      uh -0.0134585
763       eh      uh -0.0165140
764       er      uh  0.0020550
765       ey      uh  0.0193840
766        f      uh -0.0035115
767        g      uh -0.0061250
768       ih      uh  0.0071435
769       iy      uh -0.0314500
770        k      uh -0.0035400
771        l      uh -0.0245765
772        m      uh -0.0283405
773       ow      uh -0.0291285
774        p      uh -0.0045790
775        r      uh -0.0285705
776        s      uh -0.0050800
777       sh      uh -0.0067705
778        t      uh -0.0037880
779       uw      uh -0.0221390
780        w      uh -0.0153745
781       ah      uh -0.0180250
782        b      uh -0.0054200
783       ch      uh  0.0004560
784        n      uh  0.0078270
785        v      uh -0.0177460
786        y      uh -0.0382910
787        z      uh -0.0113040
788       jh      uh -0.0113130
789       ae      uw -0.0230000
790        d      uw -0.0054720
791       dh      uw -0.0294470
792       er      uw -0.0174200
793        f      uw -0.0081020
794       hh      uw  0.0057190
795       ih      uw -0.0135270
796       iy      uw -0.0065860
797        k      uw -0.0004635
798        l      uw  0.0411890
799        m      uw  0.0688940
800        r      uw -0.0085680
801        s      uw  0.0147370
802        t      uw  0.0028720
803       uw      uw  0.0051380
804       ah      uw  0.0653130
805       ch      uw -0.0050170
806        n      uw -0.0114120
807        y      uw -0.0130000
808       jh      uw -0.0330000
